               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027177,            0.018796,           0.0028375,             0.88373,             0.82544,             0.89357,             0.49176,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  39,            0.026752,            0.019144,           0.0028186,             0.82807,             0.90637,             0.91637,             0.54921,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  40,              0.0261,            0.020022,           0.0026105,             0.85924,             0.83431,             0.88062,              0.5064,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  41,            0.026002,            0.019426,           0.0027173,             0.88591,             0.88593,             0.92289,             0.55783,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  42,            0.025977,            0.019751,           0.0026962,             0.89596,              0.8434,             0.90317,             0.53604,                 nan,                 nan,                 nan,            0.001882,            0.001882,            0.001882
                  43,            0.025138,            0.018941,           0.0024868,             0.89549,             0.83209,             0.90365,             0.54614,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  44,            0.024568,            0.018467,           0.0025223,             0.88337,             0.89381,             0.92452,             0.56516,                 nan,                 nan,                 nan,            0.001486,            0.001486,            0.001486
                  45,            0.024124,            0.019162,           0.0023583,             0.87834,             0.84993,             0.88428,              0.5251,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
                  46,            0.023698,            0.019671,           0.0022765,             0.89029,             0.86463,             0.91859,              0.5526,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  47,            0.023747,            0.018568,           0.0024071,             0.89383,               0.859,             0.92066,             0.56412,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
                  48,            0.023551,             0.01923,           0.0024703,             0.90012,             0.84455,             0.91396,              0.5563,                 nan,                 nan,                 nan,            0.000694,            0.000694,            0.000694
                  49,            0.023733,            0.019362,           0.0023192,             0.89657,             0.85265,             0.91484,             0.55995,                 nan,                 nan,                 nan,            0.000496,            0.000496,            0.000496
